,year,week,ln_dept_desc,sub_ln_catg_grp_desc,total_quantity,total_sales,total_margin
41150,2019,01,STATIONERY,HOME OFFICE,364,1820.15,1078.6657
41151,2019,01,TOYS AND HOBBIES,FIGURES,277,6003.09,3245.2672
41152,2019,01,MAJOR HOME APPLIANCES,FANS AND ACCESSORIES,150,4257.51,1849.4028
41153,2019,01,TOYS AND HOBBIES,ACTIVITIES,296,3337.77,1967.9285
41154,2019,01,KIDSWORLD,FURNITURE ACC,26,674.14,359.75
41155,2019,01,TOYS AND HOBBIES,CONSTRUCTION,152,4062.72,2273.6163
41156,2019,01,STATIONERY,ARTS & CRAFTS,632,2576.51,1697.5285
41157,2019,01,HEALTH CARE,ORAL CARE,6374,41023.58,20208.8946
41158,2019,01,SPORT GD ATHLETIC ,LUGGAGE,102,2535.18,1241.3525
41159,2019,01,TOYS AND HOBBIES,RADIO CONTROL VEHICLES,36,1186.64,770.9304
41160,2019,01,GROCERY PERISHABLES,FRUIT,1409,6831.28,1430.944
41161,2019,01,HEALTH CARE,EYE CARE,424,6115.7,3466.1323
41162,2019,01,TOYS AND HOBBIES,POOLS,67,1332.93,596.3458
41163,2019,01,TOYS AND HOBBIES,SMALL GIRLS TOYS,694,12248.82,5701.964
41164,2019,01,TOYS AND HOBBIES,BOARD GAMES,152,3181.07,1878.5607
41165,2019,01,TOYS AND HOBBIES,SMALL / MINI VEHICLES,896,3478.72,1938.7373
41166,2019,01,KIDSWORLD,HAWAII CHILDREN,182,3004.2,1612.4579999999999
41167,2019,01,HEALTH CARE,GENERAL HEALTH,2233,17804.92,11488.6654
41168,2019,01,TOYS AND HOBBIES,PLAY BALLS,150,2929.85,1856.0706
41169,2019,01,HOUSEHOLD GOODS,HEATING APPLIANCES,251,6854.04,2442.0455
41170,2019,01,HOUSEHOLD GOODS,MICROWAVES & REFRIGERATO,73,4263.21,1398.0173
41171,2019,01,HOUSEHOLD GOODS,DINNERWARE,877,1073.13,627.4025
41172,2019,01,HOUSEHOLD GOODS,ASOTV,190,4322.13,2240.2313
41173,2019,01,SEASONAL,HOME DECORATIONS,1,1.49,0.946
41174,2019,01,TOBACCO & ALCOHOL,WINE/LIQUOR,470,6216.1,1152.0392
41175,2019,01,FOOD,CARBONATED SOFT DRINK,4169,8248.66,2794.6613
41176,2019,01,KIDSWORLD,BIBS/FEEDING,633,6280.07,3562.4669
41177,2019,01,STATIONERY,WRITING SUPPLIES,356,2183.45,1368.6141
41178,2019,01,"CARDS, WRAP & PARTY",SBT AG WRAP,699,2257.98,1125.275
41179,2019,01,SPORT GD ATHLETIC ,LURES / TACKLE / TACKLE,206,1215.24,713.28
41180,2019,01,FOOD,SALTY SNACKS,10285,26080.76,9061.8599
41181,2019,01,TOYS AND HOBBIES,PRESCHOOL,120,2729.87,1540.9014
41182,2019,01,WOMENS,ROUTE 66,55,368.2,252.18200000000002
41183,2019,01,FOOTWEAR,CASUALS,135,2173.54,1418.0902
41184,2019,01,HOUSEHOLD,CAT FOODS,1220,6456.08,2577.5155
41185,2019,01,HOUSEHOLD,DOG ACCESSORIES,713,7424.3,4877.7696
41186,2019,01,STATIONERY,PRIMARY,422,1622.87,837.8535
41187,2019,01,BEAUTY CARE,SPECIALTY,1073,4404.45,2349.6812
41188,2019,01,FOOD,BK DAIRY (REFRIGERATED F,2239,5533.56,1514.6174
41189,2019,01,SPORT GD ATHLETIC ,BIKES,10,873.9,372.7296
41190,2019,01,HOUSEHOLD GOODS,CANDLES / ACCESSORIES,347,1763.17,1241.3073
41191,2019,01,BEAUTY CARE,MAYBELLINE,410,4240.33,2403.5698
41192,2019,01,WOMENS,BODY/ACTIVE WEAR,298,4335.8,3029.6795
41193,2019,01,INTIMATE & ACC.,PACKAGE PANTIES,490,3741.73,2212.0123
41194,2019,01,FOOD,SHELF STABLE JUICES & DRINKS,8732,16107.12,5479.4063
41195,2019,01,BEAUTY CARE,COVER GIRL,229,2111.37,1050.6911
41196,2019,01,FOOTWEAR,CASUALS,56,736.39,479.44
41197,2019,01,FOOD,SINGLE SERVE,2092,2990.21,1205.8797
41198,2019,01,TOYS AND HOBBIES,SWING SETS,22,4436.46,1343.1159
41199,2019,01,CAR CARE,BATTERIES,20,2474.8,834.8
41200,2019,01,BEAUTY CARE,SKIN CARE,2504,23487.09,11401.9607
41201,2019,01,OUTDOOR LIVING,GRILLS,54,1035.64,350.5984
41202,2019,01,OUTDOOR LIVING,RESIN FURNITURE,49,776.51,452.72
41203,2019,01,MENSWEAR,MENS HAWAII,1265,14362.97,6615.704000000001
41204,2019,01,HOUSEHOLD,DOG FOOD,3908,29929.46,11857.5152
41205,2019,01,HOUSEHOLD GOODS,CLOSET ACCESSORIES,468,4333.89,2386.3783
41206,2019,01,SPORT GD ATHLETIC ,OUTDOOR CAMPING / SLEEPI,89,4957.37,2337.2866
41207,2019,01,FOOD,KS - CANDY & GUM,1366,4553.08,1787.2256
41208,2019,01,SPORT GD ATHLETIC ,COOLERS / JUGS / LUNCH K,96,2053.69,1120.4398
